Trace 1 X	Trace 1 Y	Trace 2 X	Trace 2 Y	
137070	115478	250324	208418	
137049	115459	250302	208400	
137028	115440	250279	208383	
137007	115421	250257	208365	
136986	115401	250235	208348	
136966	115382	250212	208330	
136945	115363	250190	208313	
136924	115343	250168	208295	
136903	115324	250145	208278	
136882	115305	250123	208260	
136861	115285	250101	208243	
136841	115266	250078	208225	
136820	115247	250056	208208	
136799	115228	250034	208190	
136778	115208	250011	208173	
136757	115189	249989	208155	
136736	115170	249967	208138	
136716	115150	249944	208120	
136695	115131	249922	208103	
136674	115112	249900	208085	
136653	115093	249878	208068	
136632	115073	249855	208050	
136611	115054	249833	208033	
136591	115035	249811	208015	
136570	115015	249788	207998	
136549	114996	249766	207980	
136528	114977	249744	207963	
136507	114958	249721	207945	
136486	114938	249699	207927	
136466	114919	249677	207910	
136445	114900	249654	207892	
136424	114880	249632	207875	
136403	114861	249610	207857	
136382	114842	249587	207840	
136361	114822	249565	207822	
136341	114803	249543	207805	
136320	114784	249520	207787	
136299	114765	249498	207770	
136278	114745	249476	207752	
136257	114726	249453	207735	
136236	114707	249431	207717	
136215	114688	249409	207700	
136194	114669	249386	207682	
136173	114650	249364	207665	
136152	114630	249342	207647	
136132	114611	249320	207630	
136111	114592	249297	207612	
136090	114573	249275	207595	
136069	114554	249253	207577	
136048	114535	249230	207560	
136027	114516	249208	207542	
136006	114497	249186	207525	
135985	114477	249163	207507	
135963	114458	249141	207490	
135942	114439	249119	207472	
135921	114420	249096	207455	
135900	114401	249074	207437	
135879	114382	249052	207420	
135858	114363	249029	207402	
135837	114344	249007	207385	
135816	114325	248985	207367	
135795	114306	248962	207350	
135774	114287	248940	207332	
135753	114268	248918	207315	
135732	114249	248895	207297	
135711	114230	248873	207280	
135689	114211	248851	207262	
135668	114192	248828	207245	
135647	114173	248806	207227	
135626	114154	248784	207210	
135605	114135	248762	207192	
135584	114116	248739	207175	
135563	114097	248717	207157	
135542	114078	248695	207140	
135520	114060	248672	207122	
135499	114041	248650	207105	
135478	114022	248628	207087	
135457	114003	248605	207070	
135436	113984	248583	207052	
135415	113965	248561	207035	
135393	113946	248538	207017	
135372	113927	248516	207000	
135351	113908	248494	206982	
135330	113889	248471	206965	
135309	113870	248449	206947	
135287	113851	248427	206930	
135266	113833	248404	206912	
135245	113814	248382	206895	
135224	113795	248360	206877	
135203	113776	248337	206860	
135181	113757	248315	206842	
135160	113738	248293	206825	
135139	113719	248270	206807	
135118	113700	248248	206790	
135097	113682	248226	206772	
135075	113663	248204	206755	
135054	113644	248181	206737	
135033	113625	248159	206720	
135012	113606	248137	206702	
134991	113587	248114	206685	
134969	113568	248092	206667	
134948	113550	248070	206650	
134927	113531	248047	206632	
134906	113512	248025	206615	
134884	113493	248003	206597	
134863	113474	247980	206580	
134842	113455	247958	206562	
134821	113436	247936	206545	
134799	113418	247913	206527	
134778	113399	247891	206510	
134757	113380	247869	206492	
134736	113361	247846	206475	
134714	113342	247824	206457	
134693	113323	247802	206440	
134672	113305	247779	206422	
134651	113286	247757	206405	
134629	113267	247735	206387	
134608	113248	247712	206370	
134587	113229	247690	206352	
134566	113211	247668	206335	
134544	113192	247646	206317	
134523	113173	247623	206300	
134502	113154	247601	206282	
134481	113135	247579	206265	
134459	113116	247556	206247	
134438	113098	247534	206230	
134417	113079	247512	206212	
134396	113060	247489	206195	
134374	113041	247467	206177	
134353	113022	247445	206160	
134332	113004	247422	206142	
134311	112985	247400	206125	
134289	112966	247378	206107	
134268	112947	247355	206090	
134247	112928	247333	206072	
134225	112910	247311	206055	
134204	112891	247288	206037	
134183	112872	247266	206020	
134162	112853	247244	206002	
134140	112834	247221	205985	
134119	112816	247199	205967	
134098	112797	247177	205950	
134077	112778	247155	205932	
134055	112759	247132	205915	
134034	112740	247110	205897	
134013	112722	247088	205880	
133991	112703	247065	205862	
133970	112684	247043	205845	
133949	112665	247021	205827	
133928	112646	246998	205810	
133906	112628	246976	205792	
133885	112609	246954	205775	
133864	112590	246931	205757	
133843	112571	246909	205739	
133821	112552	246887	205722	
133800	112534	246864	205704	
133779	112515	246842	205687	
133757	112496	246820	205669	
133736	112477	246797	205652	
133715	112458	246775	205634	
133694	112440	246753	205617	
133672	112421	246730	205599	
133651	112402	246708	205582	
133630	112383	246686	205564	
133608	112364	246663	205547	
133587	112346	246641	205529	
133566	112327	246619	205512	
133545	112308	246597	205494	
133523	112289	246574	205477	
133502	112270	246552	205459	
133481	112252	246530	205442	
133459	112233	246507	205424	
133438	112214	246485	205407	
133417	112195	246463	205389	
133396	112177	246440	205372	
133374	112158	246418	205354	
133353	112139	246396	205337	
133332	112120	246373	205319	
133310	112101	246351	205302	
133289	112083	246329	205284	
133268	112064	246306	205267	
133247	112045	246284	205249	
133225	112026	246262	205232	
133204	112007	246239	205214	
133183	111989	246217	205197	
133161	111970	246195	205179	
133140	111951	246172	205162	
133119	111932	246150	205144	
133098	111914	246128	205127	
133076	111895	246105	205109	
133055	111876	246083	205092	
133034	111857	246061	205074	
133012	111838	246039	205057	
132991	111820	246016	205039	
132970	111801	245994	205022	
132949	111782	245972	205004	
132927	111763	245949	204987	
132906	111744	245927	204969	
132885	111726	245905	204952	
132863	111707	245882	204934	
132842	111688	245860	204917	
132821	111669	245838	204899	
132800	111651	245815	204882	
132778	111632	245793	204864	
132757	111613	245771	204847	
132736	111594	245748	204829	
132714	111575	245726	204812	
132693	111557	245704	204794	
132672	111538	245681	204777	
132651	111519	245659	204759	
132629	111500	245637	204742	
132608	111481	245614	204724	
132587	111463	245592	204707	
132565	111444	245570	204689	
132544	111425	245547	204672	
132523	111406	245525	204654	
132502	111388	245503	204637	
132480	111369	245481	204619	
132459	111350	245458	204602	
132438	111331	245436	204584	
132416	111312	245414	204567	
132395	111294	245391	204549	
132374	111275	245369	204532	
132353	111256	245347	204514	
132331	111237	245324	204497	
132310	111219	245302	204479	
132289	111200	245280	204462	
132267	111181	245257	204444	
132246	111162	245235	204427	
132225	111143	245213	204409	
132203	111125	245190	204392	
132182	111106	245168	204374	
132161	111087	245146	204357	
132140	111068	245123	204339	
132118	111049	245101	204322	
132097	111031	245079	204304	
132076	111012	245056	204287	
132054	110993	245034	204269	
132033	110974	245012	204252	
132012	110956	244989	204234	
131991	110937	244967	204217	
131969	110918	244945	204199	
131948	110899	244923	204181	
131927	110880	244900	204164	
131905	110862	244878	204146	
131884	110843	244856	204129	
131863	110824	244833	204111	
131842	110805	244811	204094	
131820	110787	244789	204076	
131799	110768	244766	204059	
131778	110749	244744	204041	
131756	110730	244722	204024	
131735	110711	244699	204006	
131714	110693	244677	203989	
131693	110674	244655	203971	
131671	110655	244632	203954	
131650	110636	244610	203936	
131629	110618	244588	203919	
131607	110599	244565	203901	
131586	110580	244543	203884	
131565	110561	244521	203866	
131543	110542	244498	203849	
131522	110524	244476	203831	
131501	110505	244454	203814	
131480	110486	244432	203796	
131458	110467	244409	203779	
131437	110448	244387	203761	
131416	110430	244365	203744	
131394	110411	244342	203726	
131373	110392	244320	203709	
131352	110373	244298	203691	
131331	110355	244275	203674	
131309	110336	244253	203656	
131288	110317	244231	203639	
131267	110298	244208	203621	
131245	110279	244186	203604	
131224	110261	244164	203586	
131203	110242	244141	203569	
131182	110223	244119	203551	
131160	110204	244097	203534	
131139	110186	244074	203516	
131118	110167	244052	203499	
131096	110148	244030	203481	
131075	110129	244007	203464	
131054	110110	243985	203446	
131032	110092	243963	203429	
131011	110073	243940	203411	
130990	110054	243918	203394	
130969	110035	243896	203376	
130947	110017	243874	203359	
130926	109998	243851	203341	
130905	109979	243829	203324	
130883	109960	243807	203306	
130862	109941	243784	203289	
130841	109923	243762	203271	
130820	109904	243740	203254	
130798	109885	243717	203236	
130777	109866	243695	203219	
130756	109847	243673	203201	
130734	109829	243650	203184	
130713	109810	243628	203166	
130692	109791	243606	203149	
130671	109772	243583	203131	
130649	109754	243561	203114	
130628	109735	243539	203096	
130607	109716	243516	203079	
130585	109697	243494	203061	
130564	109678	243472	203044	
130543	109660	243449	203026	
130521	109641	243427	203009	
130500	109622	243405	202991	
130479	109603	243383	202974	
130458	109585	243360	202956	
130436	109566	243338	202939	
130415	109547	243316	202921	
130394	109528	243293	202903	
130372	109509	243271	202886	
130351	109491	243249	202868	
130330	109472	243226	202851	
130309	109453	243204	202833	
130287	109434	243182	202816	
130266	109416	243159	202798	
130245	109397	243137	202781	
130223	109378	243115	202763	
130202	109359	243092	202746	
130181	109340	243070	202728	
130160	109322	243048	202711	
130138	109303	243025	202693	
130117	109284	243003	202676	
130096	109265	242981	202658	
130074	109247	242958	202641	
130053	109228	242936	202623	
130032	109209	242914	202606	
130010	109190	242891	202588	
129989	109171	242869	202571	
129968	109153	242847	202553	
129947	109134	242825	202536	
129925	109115	242802	202518	
129904	109096	242780	202501	
129883	109077	242758	202483	
129861	109059	242735	202466	
129840	109040	242713	202448	
129819	109021	242691	202431	
129798	109002	242668	202413	
129776	108984	242646	202396	
129755	108965	242624	202378	
129734	108946	242601	202361	
129712	108927	242579	202343	
129691	108908	242557	202326	
129670	108890	242534	202308	
129649	108871	242512	202291	
129627	108852	242490	202273	
129606	108833	242467	202256	
129585	108815	242445	202238	
129563	108796	242423	202221	
129542	108777	242400	202203	
129521	108758	242378	202186	
129499	108739	242356	202168	
129478	108721	242334	202151	
129457	108702	242311	202133	
129436	108683	242289	202116	
129414	108664	242267	202098	
129393	108645	242244	202081	
129372	108627	242222	202063	
129350	108608	242200	202046	
129329	108589	242177	202028	
129308	108570	242155	202011	
129287	108552	242133	201993	
129265	108533	242110	201976	
129244	108514	242088	201958	
129223	108495	242066	201941	
129201	108476	242043	201923	
129180	108458	242021	201906	
129159	108439	241999	201888	
129138	108420	241976	201870	
129116	108401	241954	201853	
129095	108383	241932	201835	
129074	108364	241909	201818	
129052	108345	241887	201800	
129031	108326	241865	201783	
129010	108307	241843	201765	
128988	108289	241820	201748	
128967	108270	241798	201730	
128946	108251	241776	201713	
128925	108232	241753	201695	
128903	108214	241731	201678	
128882	108195	241709	201660	
128861	108176	241686	201643	
128839	108157	241664	201625	
128818	108138	241642	201608	
128797	108120	241619	201590	
128776	108101	241597	201573	
128754	108082	241575	201555	
128733	108063	241552	201538	
128712	108044	241530	201520	
128690	108026	241508	201503	
128669	108007	241485	201485	
128648	107988	241463	201468	
128627	107969	241441	201450	
128605	107951	241418	201433	
128584	107932	241396	201415	
128563	107913	241374	201398	
128541	107894	241352	201380	
128520	107875	241329	201363	
128499	107857	241307	201345	
128478	107838	241285	201328	
128456	107819	241262	201310	
128435	107800	241240	201293	
128414	107782	241218	201275	
128392	107763	241195	201258	
128371	107744	241173	201240	
128350	107725	241151	201223	
128328	107706	241128	201205	
128307	107688	241106	201188	
128286	107669	241084	201170	
128265	107650	241061	201153	
128243	107631	241039	201135	
128222	107612	241017	201118	
128201	107594	240994	201100	
128179	107575	240972	201083	
128158	107556	240950	201065	
128137	107537	240927	201048	
128116	107519	240905	201030	
128094	107500	240883	201013	
128073	107481	240861	200995	
128052	107462	240838	200977	
128030	107443	240816	200960	
128009	107425	240794	200942	
127988	107406	240771	200925	
127967	107387	240749	200907	
127945	107368	240727	200890	
127924	107350	240704	200872	
127903	107331	240682	200855	
127881	107312	240660	200837	
127860	107293	240637	200820	
127839	107274	240615	200802	
127817	107256	240593	200785	
127796	107237	240570	200767	
127775	107218	240548	200750	
127754	107199	240526	200732	
127732	107180	240503	200715	
127711	107162	240481	200697	
127690	107143	240459	200680	
127668	107124	240437	200662	
127647	107105	240414	200645	
127626	107087	240392	200627	
127605	107068	240370	200610	
127583	107049	240347	200592	
